MsgID.STATE,1529058544.8144209,False,False
MsgID.GLOBAL_POSITION,1529058555.1745842,-122.3973456,37.7925594,5.0000000
MsgID.LOCAL_VELOCITY,1529058555.1745842,1.5000000,0.8800000,0.1100000
MsgID.LOCAL_POSITION,1529058555.1767750,8.8290892,9.2719755,-5.0000868
MsgID.LOCAL_VELOCITY,1529058555.1767750,1.5081900,0.8861860,0.1111966
MsgID.GLOBAL_POSITION,1529058555.4248340,-122.3973411,37.7925621,5.0020000
MsgID.LOCAL_VELOCITY,1529058555.4248340,1.1500000,1.0900000,0.1100000
MsgID.LOCAL_POSITION,1529058555.4270651,9.1295891,9.6730947,-5.0025167
MsgID.LOCAL_VELOCITY,1529058555.4270651,1.1536934,1.0922676,0.1176559
MsgID.GLOBAL_POSITION,1529058555.6750982,-122.3973397,37.7925636,4.9930000
MsgID.LOCAL_VELOCITY,1529058555.6750982,1.4000000,0.8600000,0.1600000
MsgID.LOCAL_POSITION,1529058555.6770451,9.2944193,9.7968893,-4.9939508
MsgID.LOCAL_VELOCITY,1529058555.6770451,1.4063036,0.8639233,0.1665201
MsgID.GLOBAL_HOME,1529058555.9164171,-122.3974500,37.7924800,0.0000000
MsgID.STATE,1529058555.9167628,True,True
MsgID.GLOBAL_POSITION,1529058555.9247270,-122.3973380,37.7925664,4.9950000
MsgID.LOCAL_VELOCITY,1529058555.9247270,1.3700000,0.5700000,0.0800000
MsgID.LOCAL_POSITION,1529058555.9268429,9.6025410,9.9497242,-4.9951382
MsgID.LOCAL_VELOCITY,1529058555.9268429,1.3756063,0.5778072,0.0829497
MsgID.GLOBAL_POSITION,1529058556.1747370,-122.3973371,37.7925697,4.9970000
MsgID.LOCAL_VELOCITY,1529058556.1747370,0.8200000,0.3000000,0.0700000
MsgID.LOCAL_POSITION,1529058556.1768808,9.9744730,10.0303507,-4.9973521
MsgID.LOCAL_VELOCITY,1529058556.1768808,0.8232060,0.3002705,0.0767173
MsgID.GLOBAL_POSITION,1529058556.4247019,-122.3973378,37.7925727,4.7900000
MsgID.LOCAL_VELOCITY,1529058556.4247019,0.5800000,0.2100000,1.4900000
MsgID.LOCAL_POSITION,1529058556.4267929,10.3030977,9.9709654,-4.7905931
MsgID.LOCAL_VELOCITY,1529058556.4267929,0.5813469,0.2196415,1.4943295
MsgID.GLOBAL_POSITION,1529058556.6748219,-122.3973360,37.7925725,4.3490000
MsgID.LOCAL_VELOCITY,1529058556.6748219,0.3100000,0.1200000,1.8900000
MsgID.LOCAL_POSITION,1529058556.6768808,10.2829628,10.1322670,-4.3496933
MsgID.LOCAL_VELOCITY,1529058556.6768808,0.3125140,0.1285058,1.8937629
MsgID.GLOBAL_HOME,1529058556.9170921,-122.3974500,37.7924800,0.0000000
MsgID.STATE,1529058556.9173219,True,True
MsgID.GLOBAL_POSITION,1529058556.9254529,-122.3973355,37.7925728,3.8420000
MsgID.LOCAL_VELOCITY,1529058556.9254529,0.1200000,0.0500000,2.0000000
MsgID.LOCAL_POSITION,1529058556.9258912,10.3197823,10.1776381,-3.8422678
MsgID.LOCAL_VELOCITY,1529058556.9258912,0.1288693,0.0590592,2.0017681
MsgID.GLOBAL_POSITION,1529058557.1764390,-122.3973342,37.7925737,3.3100000
MsgID.LOCAL_VELOCITY,1529058557.1764390,0.0200000,0.0000000,2.0600000
MsgID.LOCAL_POSITION,1529058557.1767139,10.4114399,10.2888336,-3.3103819
MsgID.LOCAL_VELOCITY,1529058557.1767139,0.0223087,0.0071284,2.0624557
MsgID.GLOBAL_POSITION,1529058557.4264021,-122.3973333,37.7925715,2.7630000
MsgID.LOCAL_VELOCITY,1529058557.4264021,-0.1700000,-0.0900000,2.0500000
MsgID.LOCAL_POSITION,1529058557.4266109,10.1750460,10.3704329,-2.7638795
MsgID.LOCAL_VELOCITY,1529058557.4266109,-0.1744579,-0.0946249,2.0583808
MsgID.GLOBAL_POSITION,1529058557.6747782,-122.3973351,37.7925715,2.2230000
MsgID.LOCAL_VELOCITY,1529058557.6747782,-0.1200000,-0.0800000,2.0100000
MsgID.LOCAL_POSITION,1529058557.6769819,10.1723347,10.2126608,-2.2232509
MsgID.LOCAL_VELOCITY,1529058557.6769819,-0.1296610,-0.0845950,2.0123138
MsgID.STATE,1529058557.9166451,True,True
MsgID.GLOBAL_HOME,1529058557.9168251,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1529058557.9251380,-122.3973354,37.7925719,1.6930000
MsgID.LOCAL_VELOCITY,1529058557.9251380,-0.0500000,-0.0500000,2.0000000
MsgID.LOCAL_POSITION,1529058557.9274051,10.2194614,10.1851406,-1.6937749
MsgID.LOCAL_VELOCITY,1529058557.9274051,-0.0539302,-0.0582636,2.0090623
MsgID.GLOBAL_POSITION,1529058558.1754520,-122.3973349,37.7925721,1.1770000
MsgID.LOCAL_VELOCITY,1529058558.1754520,-0.0400000,-0.0400000,2.0400000
MsgID.LOCAL_POSITION,1529058558.1776588,10.2411442,10.2236652,-1.1771122
