time, Quad.Est.E.Pos, Quad.Est.S.Z
4.489857,0.153777,0.312848
4.494857,0.153167,0.313037
4.499856,0.152849,0.313163
4.504856,0.124747,0.310467
4.509856,0.124132,0.310583
4.514855,0.123168,0.310758
4.519855,0.122529,0.310876
4.524855,0.121548,0.311052
4.529854,0.120883,0.311171
4.534854,0.119907,0.311349
4.539854,0.119275,0.311468
4.544853,0.118386,0.311648
4.549853,0.117780,0.311768
4.554852,0.116849,0.311950
4.559852,0.116232,0.312072
4.564852,0.115329,0.312255
4.569851,0.114716,0.312377
4.574851,0.113842,0.312562
4.579851,0.113288,0.312686
4.584850,0.112455,0.312872
4.589850,0.111891,0.312997
4.594850,0.111078,0.313186
4.599849,0.110491,0.313312
4.604849,0.094081,0.310615
4.609848,0.093606,0.310731
4.614848,0.092850,0.310906
4.619848,0.092329,0.311023
4.624847,0.091528,0.311199
4.629847,0.090983,0.311318
